Actual_2025,Predicted_2025,Residual,Absolute_Error,Percentage_Error
5.9,5.8920446641079165,0.007955335892083859,0.007955335892083859,0.13483620156074336
6.6,6.636393003752003,-0.036393003752003494,0.036393003752003494,0.5514091477576287
6.1,6.132722182842385,-0.03272218284238537,0.03272218284238537,0.5364292269243504
5.3,5.303220275503641,-0.0032202755036410124,0.0032202755036410124,0.06075991516303797
5.5,5.582766587995812,-0.08276658799581238,0.08276658799581238,1.504847054469316
7.0,7.012878877616761,-0.012878877616761208,0.012878877616761208,0.18398396595373154
6.6,6.600875388093373,-0.000875388093373175,0.000875388093373175,0.013263455960199622
5.3,5.323615409284684,-0.023615409284683864,0.023615409284683864,0.4455737600883748
5.2,5.177505031104901,0.022494968895099277,0.022494968895099277,0.4325955556749861
5.2,5.197932188974244,0.00206781102575615,0.00206781102575615,0.03976559664915673
