Year,Country,Debt_to_GDP_Percent,GDP_Growth_Percent,Inflation_Percent,Population_Total,Data_Type,Source
2020,JPN,,-4.16876457146743,-0.024995834027731,126261000.0,Historical,World Bank
2020,PAK,,-1.27408744338709,9.73999313898155,235001746.0,Historical,World Bank
2020,USA,126.432892675138,-2.16302914036166,1.23358439630629,331577720.0,Historical,World Bank
2020,WLD,,-2.8992231033702,,7854748424.0,Historical,World Bank
2021,CHN,,8.57008513166322,0.981015135544882,1412360000.0,Historical,World Bank
2021,EMU,,6.43713755486188,2.4865043812082,347207191.0,Historical,World Bank
2021,IND,,9.68959249192875,5.13140747176369,1414203896.0,Historical,World Bank
2021,JPN,,2.69657404187188,-0.233352779398264,125681593.0,Historical,World Bank
2021,PAK,,6.51388575852702,9.49621056124947,239477801.0,Historical,World Bank
2021,USA,120.426823865111,6.05505293244555,4.69785886363742,332099760.0,Historical,World Bank
2021,WLD,,6.41334961541973,,7920514854.0,Historical,World Bank
2022,CHN,,3.1341888719577,1.97357555739051,1412175000.0,Historical,World Bank
2022,EMU,,3.6592192433758,8.47117645590892,348200155.0,Historical,World Bank
2022,IND,,7.60936497768895,6.69903414079852,1425423212.0,Historical,World Bank
2022,JPN,,0.941998775483285,2.49770278172255,125124989.0,Historical,World Bank
2022,PAK,,4.7781068690358,19.8738599646655,243700667.0,Historical,World Bank
2022,USA,114.751249288826,2.51237531986017,8.00279982052121,334017321.0,Historical,World Bank
2022,WLD,,3.40305483746891,,7989545217.0,Historical,World Bank
2023,CHN,,5.41484330099675,0.234836828893051,1410710000.0,Historical,World Bank
2023,EMU,,0.473405522226571,5.78431554960862,349762722.0,Historical,World Bank
2023,IND,,9.19075493028345,5.64914318907925,1438069596.0,Historical,World Bank
2023,JPN,,1.47503481053384,3.26813365933163,124516650.0,Historical,World Bank
2023,PAK,,-0.414935997088406,30.7681280657005,247504495.0,Historical,World Bank
2023,USA,116.975041091042,2.88755600749487,4.11633838374488,336806231.0,Historical,World Bank
2023,WLD,,2.9485947500487,,8064057930.0,Historical,World Bank
