version,1.6.0
info,balls_per_over,6
info,team,Kenya
info,team,Tanzania
info,gender,male
info,season,2018
info,date,2018/07/13
info,event,ICC World Twenty20 Africa Region Qualifier B
info,match_number,9
info,venue,Gahanga International Cricket Stadium. Rwanda
info,city,
info,toss_winner,Kenya
info,toss_decision,bat
info,player_of_match,AA Obanda
info,umpire,S George
info,umpire,C Thorburn
info,reserve_umpire,IO Oyieko
info,match_referee,D Govindjee
info,winner,Kenya
info,winner_runs,56
info,player,Kenya,DM Gondaria
info,player,Kenya,AA Obanda
info,player,Kenya,RR Patel
info,player,Kenya,RN Patel
info,player,Kenya,SO Ngoche
info,player,Kenya,Gurdeep Singh
info,player,Kenya,P Kerai
info,player,Kenya,EB Ringera
ball,1,6.5,Kenya,DM Gondaria,AA Obanda,JC Darji,0,1,1,,,,,"",""
ball,1,6.6,Kenya,DM Gondaria,AA Obanda,JC Darji,4,0,,,,,,"",""
ball,1,6.7,Kenya,DM Gondaria,AA Obanda,JC Darji,6,0,,,,,,"",""
ball,1,7.1,Kenya,AA Obanda,DM Gondaria,ZR Jaboneke,4,0,,,,,,"",""
ball,1,7.2,Kenya,AA Obanda,DM Gondaria,ZR Jaboneke,0,1,,,,1,,"",""
ball,1,7.3,Kenya,DM Gondaria,AA Obanda,ZR Jaboneke,1,0,,,,,,"",""
ball,1,7.4,Kenya,AA Obanda,DM Gondaria,ZR Jaboneke,4,0,,,,,,"",""
ball,1,7.5,Kenya,AA Obanda,DM Gondaria,ZR Jaboneke,1,0,,,,,,"",""
ball,1,7.6,Kenya,DM Gondaria,AA Obanda,ZR Jaboneke,4,0,,,,,,"",""
ball,1,8.1,Kenya,AA Obanda,DM Gondaria,KN Mussa,4,0,,,,,,"",""
ball,1,8.2,Kenya,AA Obanda,DM Gondaria,KN Mussa,0,0,,,,,,"",""
ball,1,8.3,Kenya,AA Obanda,DM Gondaria,KN Mussa,0,0,,,,,,"",""
ball,1,8.4,Kenya,AA Obanda,DM Gondaria,KN Mussa,2,0,,,,,,"",""
ball,1,8.5,Kenya,AA Obanda,DM Gondaria,KN Mussa,2,0,,,,,,"",""
ball,1,8.6,Kenya,AA Obanda,DM Gondaria,KN Mussa,1,0,,,,,,"",""
ball,1,9.1,Kenya,AA Obanda,DM Gondaria,ZR Jaboneke,1,0,,,,,,"",""
ball,1,9.2,Kenya,DM Gondaria,AA Obanda,ZR Jaboneke,0,0,,,,,,"",""
ball,1,9.3,Kenya,DM Gondaria,AA Obanda,ZR Jaboneke,2,0,,,,,,"",""
ball,1,9.4,Kenya,DM Gondaria,AA Obanda,ZR Jaboneke,1,0,,,,,,"",""
ball,1,9.5,Kenya,AA Obanda,DM Gondaria,ZR Jaboneke,1,0,,,,,,"",""
ball,1,9.6,Kenya,DM Gondaria,AA Obanda,ZR Jaboneke,1,0,,,,,,"",""
ball,1,10.1,Kenya,DM Gondaria,AA Obanda,KN Mussa,1,0,,,,,,"",""
ball,1,10.2,Kenya,AA Obanda,DM Gondaria,KN Mussa,0,0,,,,,,"",""
ball,1,10.3,Kenya,AA Obanda,DM Gondaria,KN Mussa,0,0,,,,,,"",""
