version,1.7.0
info,balls_per_over,6
info,team,Vidarbha
info,team,Rajasthan
info,gender,male
info,season,2020/21
info,date,2021/01/11
info,event,Syed Mushtaq Ali Trophy
info,venue, Emerald Heights International School Ground
info,city,
info,toss_winner,Rajasthan
info,toss_decision,field
info,winner,Rajasthan
info,winner_wickets,3
info,player,Vidarbha,JM Sharma
info,player,Vidarbha,Atharva Taide
info,player,Vidarbha,Ganesh Satish
info,player,Vidarbha,RR Rathod
info,player,Vidarbha,Siddhesh Wath
info,player,Vidarbha,Akshay Karnewar
info,player,Vidarbha,AV Wankhade
info,player,Vidarbha,DG Nalkande
info,player,Vidarbha,NN Bhute
info,player,Vidarbha,Yash Thakur
info,player,Vidarbha,Akshay Wakhare
info,player,Rajasthan,DL Chahar
info,player,Rajasthan,KK Ahmed
info,player,Rajasthan,A Choudhary
info,player,Rajasthan,Ravi Bishnoi
info,player,Rajasthan,RD Chahar
info,player,Rajasthan,MN Singh
info,player,Rajasthan,Ankit Lamba
info,player,Rajasthan,MK Lomror
info,player,Rajasthan,R Bishnoi
info,player,Rajasthan,AL Menaria
info,player,Rajasthan,Arjit Gupta
info,registry,people,A Choudhary,18e6906e
info,registry,people,AL Menaria,8291f939
info,registry,people,AV Wankhade,5708d0b6
info,registry,people,Akshay Karnewar,e1e7f950
info,registry,people,Akshay Wakhare,ec9fc54b
info,registry,people,Ankit Lamba,90a3c0dc
info,registry,people,Arjit Gupta,145903a5
info,registry,people,Atharva Taide,1ac746c8
info,registry,people,DG Nalkande,cd8d2859
info,registry,people,DL Chahar,23eeb873
info,registry,people,Ganesh Satish,0ed1a112
ball,1,8.6,Vidarbha,Akshay Karnewar,Siddhesh Wath,RD Chahar,0,0,,,,,,"",""
ball,1,9.1,Vidarbha,Siddhesh Wath,Akshay Karnewar,Ravi Bishnoi,0,0,,,,,,"",""
ball,1,9.2,Vidarbha,Siddhesh Wath,Akshay Karnewar,Ravi Bishnoi,1,0,,,,,,"",""
ball,1,9.3,Vidarbha,Akshay Karnewar,Siddhesh Wath,Ravi Bishnoi,0,0,,,,,,"",""
ball,1,9.4,Vidarbha,Akshay Karnewar,Siddhesh Wath,Ravi Bishnoi,1,0,,,,,,"",""
ball,1,9.5,Vidarbha,Siddhesh Wath,Akshay Karnewar,Ravi Bishnoi,1,0,,,,,,"",""
ball,1,9.6,Vidarbha,Akshay Karnewar,Siddhesh Wath,Ravi Bishnoi,0,0,,,,,,"",""
ball,1,10.1,Vidarbha,Siddhesh Wath,Akshay Karnewar,RD Chahar,1,0,,,,,,"",""
ball,1,10.2,Vidarbha,Akshay Karnewar,Siddhesh Wath,RD Chahar,1,0,,,,,,"",""
ball,1,10.3,Vidarbha,Siddhesh Wath,Akshay Karnewar,RD Chahar,1,0,,,,,,"",""
ball,1,10.4,Vidarbha,Akshay Karnewar,Siddhesh Wath,RD Chahar,4,0,,,,,,"",""
ball,1,10.5,Vidarbha,Akshay Karnewar,Siddhesh Wath,RD Chahar,2,0,,,,,,"",""
ball,1,10.6,Vidarbha,Akshay Karnewar,Siddhesh Wath,RD Chahar,1,0,,,,,,"",""
ball,1,11.1,Vidarbha,Akshay Karnewar,Siddhesh Wath,Ravi Bishnoi,0,0,,,,,,"",""
ball,1,11.2,Vidarbha,Akshay Karnewar,Siddhesh Wath,Ravi Bishnoi,0,0,,,,,,caught,Akshay Karnewar
ball,1,11.3,Vidarbha,Siddhesh Wath,AV Wankhade,Ravi Bishnoi,1,0,,,,,,"",""
ball,1,11.4,Vidarbha,AV Wankhade,Siddhesh Wath,Ravi Bishnoi,1,0,,,,,,"",""
ball,1,11.5,Vidarbha,Siddhesh Wath,AV Wankhade,Ravi Bishnoi,1,0,,,,,,"",""
ball,1,11.6,Vidarbha,AV Wankhade,Siddhesh Wath,Ravi Bishnoi,1,0,,,,,,"",""
ball,1,12.1,Vidarbha,AV Wankhade,Siddhesh Wath,RD Chahar,1,0,,,,,,"",""
ball,1,12.2,Vidarbha,Siddhesh Wath,AV Wankhade,RD Chahar,1,0,,,,,,"",""
ball,1,12.3,Vidarbha,AV Wankhade,Siddhesh Wath,RD Chahar,0,0,,,,,,"",""
ball,1,12.4,Vidarbha,AV Wankhade,Siddhesh Wath,RD Chahar,6,0,,,,,,"",""
ball,1,12.5,Vidarbha,AV Wankhade,Siddhesh Wath,RD Chahar,0,1,,,1,,,"",""
ball,1,12.6,Vidarbha,Siddhesh Wath,AV Wankhade,RD Chahar,0,5,5,,,,,"",""
