version,1.6.0
info,balls_per_over,6
info,team,Sussex
info,team,Glamorgan
info,gender,male
info,season,2016
info,date,2016/07/28
ball,2,2.1,Sussex,PD Salt,LJ Wright,T van der Gugten,0,0,,,,,,"",""
ball,2,2.2,Sussex,PD Salt,LJ Wright,T van der Gugten,4,0,,,,,,"",""
ball,2,2.3,Sussex,PD Salt,LJ Wright,T van der Gugten,1,0,,,,,,"",""
ball,2,2.4,Sussex,LJ Wright,PD Salt,T van der Gugten,0,0,,,,,,"",""
ball,2,2.5,Sussex,LJ Wright,PD Salt,T van der Gugten,1,0,,,,,,"",""
ball,2,2.6,Sussex,PD Salt,LJ Wright,T van der Gugten,0,0,,,,,,"",""
ball,2,3.1,Sussex,LJ Wright,PD Salt,SW Tait,1,0,,,,,,"",""
ball,2,3.2,Sussex,PD Salt,LJ Wright,SW Tait,1,0,,,,,,"",""
ball,2,3.3,Sussex,LJ Wright,PD Salt,SW Tait,0,0,,,,,,"",""
ball,2,3.4,Sussex,LJ Wright,PD Salt,SW Tait,1,0,,,,,,"",""
ball,2,3.5,Sussex,PD Salt,LJ Wright,SW Tait,1,0,,,,,,"",""
ball,2,3.6,Sussex,LJ Wright,PD Salt,SW Tait,1,0,,,,,,"",""
ball,2,4.1,Sussex,LJ Wright,PD Salt,MG Hogan,0,0,,,,,,"",""
